journal,year,count
Scientific Reports,2015,753
Scientific Reports,2016,1829
Scientific Reports,2017,2524
Scientific Reports,2018,1778
Scientific Reports,2019,1474
Scientific Reports,2020,1463
Scientific Reports,2021,1383
Scientific Reports,2022,1155
Scientific Reports,2023,1031
Scientific Reports,2024,1315
Scientific Reports,2025,797
bioRxiv,2020,66
bioRxiv,2021,61
bioRxiv,2022,32
bioRxiv,2023,765
bioRxiv,2024,998
bioRxiv,2025,592
eLife,,3723
eLife,2012,8
eLife,2013,58
eLife,2014,90
iScience,2018,13
iScience,2019,19
iScience,2020,267
iScience,2021,565
iScience,2022,817
iScience,2023,1089
iScience,2024,1350
iScience,2025,461
