,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018,2000,2014,2007,2015,2016,2010,2009,2003,2004,2005,2008,2006,2011,2012,1998,2001,2002,1999,1988,1987,1960,1959,1961,1976,1977,1962,1963,1964,1994,1956
HHMI (USA),60.19417475728155,66.75257731958763,58.88787602552416,54.308093994778076,60.901467505241094,39.47858472998138,53.04101838755304,49.4097807757167,26.492537313432834,44.83925549915397,0.0,34.15094339622641,21.951219512195124,34.99079189686925,36.5234375,20.192307692307693,20.37735849056604,25.0,31.57894736842105,27.027027027027028,20.398009950248756,22.88135593220339,22.25130890052356,22.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellcome Trust (UK),40.71682273167582,41.84971098265896,37.54319824065347,29.16898276820456,32.24732116999711,22.824064502790986,26.280623608017816,27.05647357908117,14.172686618507052,24.13593357791079,0.0,17.477203647416413,10.95617529880478,20.021074815595362,20.65142065142065,15.230875258442452,13.866666666666665,7.6923076923076925,16.9811320754717,10.0,11.36653895274585,14.13793103448276,14.588377723970943,12.76309896999552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DFG (Germany),36.79906542056075,40.43336058871627,31.83399602385686,24.38003220611916,26.881367071968455,19.601328903654487,22.976175626793065,23.413234301147874,10.816978548607942,22.437904404091004,0.0,16.816581931951504,14.798206278026907,19.037940379403796,19.289907743919485,12.0,12.240663900414937,16.666666666666664,0.0,4.615384615384616,10.0,8.59375,11.47396293027361,11.137581893984514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMGF (USA),32.075471698113205,34.61030383091149,26.241610738255034,24.89296636085627,28.20012995451592,16.516129032258064,23.965141612200437,20.515097690941385,6.440677966101695,22.1875,0.0,12.88135593220339,0.0,16.624040920716112,16.117216117216117,6.338028169014084,5.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,6.172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIH (USA),30.94994020160601,33.549986598767084,29.20156082422472,23.894101876675602,25.431118949637465,19.537662085377107,22.91783993492272,22.1351119432093,12.776556776556777,20.612873822648552,0.0,14.362728785357737,12.572855953372189,17.61651774933591,18.29914850318642,12.67710663683818,12.655860349127183,2.5974025974025974,11.357340720221606,10.179640718562874,13.106508875739644,12.158647594278284,12.686214235043746,11.547801061246515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMED (Japan),29.915899078894675,32.93223559214693,26.622361219702896,22.169117647058822,24.808464064210142,18.882978723404257,21.390374331550802,21.884317233154444,0.0,18.745545260156806,0.0,0.0,0.0,18.994413407821227,16.77943166441137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC (Europe),30.562854376987968,31.782613356201097,26.950965611314526,22.992345163535145,24.93492624974972,19.290603609209708,21.372580387138058,22.407424945544086,13.77049180327869,20.787016451756337,0.0,14.780232293327261,11.751662971175167,17.97059357415139,17.869415807560138,12.216532553035844,11.496531219028741,0.0,4.25531914893617,8.737864077669903,10.991957104557642,12.790697674418606,12.571428571428573,12.144992526158445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRC (UK),28.040404040404038,29.270287958115183,25.674655595395357,22.49107142857143,23.216759002770083,17.627606038820993,20.475589225589225,20.087442312363372,11.25574272588055,18.302180685358255,0.0,11.681222707423581,9.706959706959708,14.562176662195823,15.826058842547688,12.308673469387756,10.485933503836318,3.125,5.88235294117647,6.147540983606557,7.71889400921659,9.217877094972067,11.515748031496063,9.915314043754412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIHR (Canada),23.003629764065337,26.892221834670387,22.073342736248236,16.210045662100455,19.445696259576387,14.331983805668017,17.018744421303182,16.429809358752166,9.202453987730062,14.186316196366446,0.0,10.0,9.090909090909092,13.369781312127236,13.435448577680525,11.021505376344086,10.497237569060774,0.0,8.333333333333332,9.420289855072465,8.483290488431876,7.317073170731707,8.958333333333334,8.033240997229916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSFC (China),20.41318325471331,23.023627642565287,17.825761979902,15.240143096361699,15.29252408056042,12.883332634140201,13.760117733627666,13.798715452352583,11.12196483393804,13.220104742508001,0.0,11.268448344635022,8.21917808219178,14.313346228239846,12.74525029766527,10.32258064516129,7.448107448107448,0.0,0.0,14.285714285714285,6.614785992217899,7.352941176470589,11.116279069767442,10.166177908113392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
